key	name	severity	type	lang
kotlin:ParsingError	Kotlin parser failure	MAJOR	CODE_SMELL	kotlin
kotlin:S100	Function names should comply with a naming convention	MINOR	CODE_SMELL	kotlin
kotlin:S101	Class names should comply with a naming convention	MINOR	CODE_SMELL	kotlin
kotlin:S103	Lines should not be too long	MAJOR	CODE_SMELL	kotlin
kotlin:S104	Files should not have too many lines of code	MAJOR	CODE_SMELL	kotlin
kotlin:S1066	Mergeable "if" statements should be combined	MAJOR	CODE_SMELL	kotlin
kotlin:S1067	Expressions should not be too complex	CRITICAL	CODE_SMELL	kotlin
kotlin:S107	Functions should not have too many parameters	MAJOR	CODE_SMELL	kotlin
kotlin:S1110	Redundant pairs of parentheses should be removed	MAJOR	CODE_SMELL	kotlin
kotlin:S1125	Boolean literals should not be redundant	MINOR	CODE_SMELL	kotlin
kotlin:S1128	Unnecessary imports should be removed	MINOR	CODE_SMELL	kotlin
kotlin:S1133	Deprecated code should be removed	INFO	CODE_SMELL	kotlin
kotlin:S1134	Track uses of "FIXME" tags	MAJOR	CODE_SMELL	kotlin
kotlin:S1135	Track uses of "TODO" tags	INFO	CODE_SMELL	kotlin
kotlin:S1143	Jump statements should not occur in "finally" blocks	CRITICAL	BUG	kotlin
kotlin:S1144	Unused "private" methods should be removed	MAJOR	CODE_SMELL	kotlin
kotlin:S1145	Useless "if(true) {...}" and "if(false){...}" blocks should be removed	MAJOR	BUG	kotlin
kotlin:S1151	"when" clauses should not have too many lines of code	MAJOR	CODE_SMELL	kotlin
kotlin:S117	Local variable and function parameter names should comply with a naming convention	MINOR	CODE_SMELL	kotlin
kotlin:S1172	Unused function parameters should be removed	MAJOR	CODE_SMELL	kotlin
kotlin:S1186	Functions should not be empty	CRITICAL	CODE_SMELL	kotlin
kotlin:S1192	String literals should not be duplicated	CRITICAL	CODE_SMELL	kotlin
kotlin:S1206	"equals(Any?)" and "hashCode()" should be overridden in pairs	MINOR	BUG	kotlin
kotlin:S122	Statements should be on separate lines	MAJOR	CODE_SMELL	kotlin
kotlin:S125	Sections of code should not be commented out	MAJOR	CODE_SMELL	kotlin
kotlin:S126	"if ... else if" constructs should end with "else" clauses	CRITICAL	CODE_SMELL	kotlin
kotlin:S1313	Using hardcoded IP addresses is security-sensitive	MINOR	SECURITY_HOTSPOT	kotlin
kotlin:S134	Control flow statements "if", "for", "while", "when" and "try" should not be nested too deeply	CRITICAL	CODE_SMELL	kotlin
kotlin:S1479	"when" statements should not have too many clauses	MAJOR	CODE_SMELL	kotlin
kotlin:S1481	Unused local variables should be removed	MINOR	CODE_SMELL	kotlin
kotlin:S1656	Variables should not be self-assigned	MAJOR	BUG	kotlin
kotlin:S1763	All code should be reachable	MAJOR	BUG	kotlin
kotlin:S1764	Identical expressions should not be used on both sides of a binary operator	MAJOR	BUG	kotlin
kotlin:S1862	Related "if/else if" statements should not have the same condition	MAJOR	BUG	kotlin
kotlin:S1871	Two branches in a conditional structure should not have exactly the same implementation	MAJOR	CODE_SMELL	kotlin
kotlin:S1874	Code annotated as deprecated should not be used	MINOR	CODE_SMELL	kotlin
kotlin:S1940	Boolean checks should not be inverted	MINOR	CODE_SMELL	kotlin
kotlin:S2053	Password hashing functions should use an unpredictable salt	CRITICAL	VULNERABILITY	kotlin
kotlin:S2068	Hard-coded credentials are security-sensitive	BLOCKER	SECURITY_HOTSPOT	kotlin
kotlin:S2097	"equals(other: Any?)" should test the argument's type	MINOR	BUG	kotlin
kotlin:S2114	Collections should not be passed as arguments to their own methods	MAJOR	BUG	kotlin
kotlin:S2116	"hashCode" and "toString" should not be called on array instances	MAJOR	BUG	kotlin
kotlin:S2122	"ScheduledThreadPoolExecutor" should not have 0 core threads	CRITICAL	BUG	kotlin
kotlin:S2123	Values should not be uselessly incremented	MAJOR	BUG	kotlin
